gender,event,medal,athlete,abb,country,grp_id,type,year,guide
Men,Double FITA Round Amputee,Gold,LARSEN Finn,DEN,Denmark,,Archery,1980,
Men,Double FITA Round Paraplegic,Gold,GEISS H.,GER,Germany,,Archery,1980,
Men,Double FITA Round Tetraplegic,Gold,PARKER T.,CAN,Canada,,Archery,1980,
Men,Double FITA Round Novice Paraplegic,Gold,CHAVEZ Alfredo,Mex,Mexico,,Archery,1980,
Men,Double FITA Round Novice Tetraplegic,Gold,KARKAINEN K.,FIN,Finland,,Archery,1980,
Men,Short Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,France,,Archery,1980,
Men,Short Metric Round Tetraplegic,Gold,HENKER Siegmar,GER,Germany,,Archery,1980,
Men,Advanced Metric Round Paraplegic,Gold,KIM Yoon Bae,KOR,South Korea,,Archery,1980,
Women,Double FITA Round Amputee,Gold,ROSVIK Marie,NOR,Norway,,Archery,1980,
Women,Double FITA Round Paraplegic,Gold,FAIRHALL Neroli,NZL,New Zealand,,Archery,1980,
Women,Double FITA Round Novice Paraplegic,Gold,OHMAE Chiyoko,JPN,Japan,,Archery,1980,
Women,Short Metric Round Paraplegic,Gold,SCHWEIZER Rosa,AUT,Austria,,Archery,1980,
Women,Advanced Metric Round Paraplegic,Gold,UNSICKER K.,USA,United States of America,,Archery,1980,
Men,Double FITA Round Team Amputee,Gold,BRENNE Manfred,GER,Germany,1.0,Archery,1980,
Men,Double FITA Round Team Paraplegic,Gold,BARDOEL Filip,BEL,Belgium,1.0,Archery,1980,
Men,Double FITA Round C1-C2,Gold,BAREFOOT David,CAN,Canada,,Archery,1984,
Men,"Double FITA Round C3,C6",Gold,THORNE Philip,GBR,United Kingdom,,Archery,1984,
Men,Double FITA Round Div. 3,Gold,LOVVOLD Kjell,NOR,Norway,,Archery,1984,
Men,Double FITA Round Integrated,Gold,THULIN Jan,SWE,Sweden,,Archery,1984,
Men,Double FITA Round Paraplegic,Gold,GRUN Guy,BEL,Belgium,,Archery,1984,
Men,Double FITA Round Tetraplegic,Gold,LETTNER Felix,AUT,Austria,,Archery,1984,
Men,Double Short Metric Round Paraplegic,Gold,BAUDOIS Michel,SUI,Switzerland,,Archery,1984,
Men,Double Short Metric Round Tetraplegic,Gold,HOLM Kenneth,SWE,Sweden,,Archery,1984,
Men,Double Advanced Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,France,,Archery,1984,
Men,Double Advanced Metric Round Tetraplegic,Gold,FRANK Gerhard,AUT,Austria,,Archery,1984,
